EDAD_VICTIMA,FECHA,FECHA_AA,FECHA_DD,FECHA_DECESO,FECHA_MM,ID,ROL_VICTIMA,SEXO_VICTIMA,VH_VICTIMA
35,28/10/2016,2016,28,SD,10,2016-0139,PASAJERO_ACOMPAÑANTE,FEMENINO,MOTO
20,31/10/2016,2016,31,SD,10,2016-0140,PASAJERO_ACOMPAÑANTE,MASCULINO,PASAJEROS
46,5/11/2016,2016,5,5/11/2016,11,2016-0142,CONDUCTOR,MASCULINO,MOTO
35,6/11/2016,2016,6,SD,11,2016-0143,CONDUCTOR,MASCULINO,MOTO
83,7/11/2016,2016,7,SD,11,2016-0144,PEATON,MASCULINO,PEATON
39,7/11/2016,2016,7,7/11/2016,11,2016-0145,CONDUCTOR,MASCULINO,MOTO
29,9/11/2016,2016,9,SD,11,2016-0146,PEATON,FEMENINO,PEATON
55,16/11/2016,2016,16,16/11/2016,11,2016-0147,PASAJERO_ACOMPAÑANTE,MASCULINO,MOVIL
SD,16/11/2016,2016,16,SD,11,2016-0148,CONDUCTOR,MASCULINO,MOTO
41,18/11/2016,2016,18,18/11/2016,11,2016-0150,PASAJERO_ACOMPAÑANTE,MASCULINO,CARGAS
SD,18/11/2016,2016,18,SD,11,2016-0151,PEATON,SD,PEATON
42,23/11/2016,2016,23,24/11/2016,11,2016-0152,CONDUCTOR,MASCULINO,MOTO
83,25/11/2016,2016,25,25/11/2016,11,2016-0153,PEATON,FEMENINO,PEATON
38,26/11/2016,2016,26,SD,11,2016-0154,CONDUCTOR,MASCULINO,MOTO
29,26/11/2016,2016,26,SD,11,2016-0155,PEATON,FEMENINO,PEATON
23,26/11/2016,2016,26,30/11/2016,11,2016-0156,CONDUCTOR,MASCULINO,MOTO
23,3/12/2016,2016,3,SD,12,2016-0157,CONDUCTOR,MASCULINO,MOTO
23,4/12/2016,2016,4,SD,12,2016-0159,CONDUCTOR,MASCULINO,AUTO
29,6/12/2016,2016,6,6/12/2016,12,2016-0160,CONDUCTOR,MASCULINO,CARGAS
50,6/12/2016,2016,6,6/12/2016,12,2016-0161,PEATON,MASCULINO,PEATON
38,7/12/2016,2016,7,1/1/2017,12,2016-0162,PEATON,MASCULINO,PEATON
23,10/12/2016,2016,10,SD,12,2016-0163,CONDUCTOR,MASCULINO,MOTO
29,11/12/2016,2016,11,SD,12,2016-0164,CONDUCTOR,MASCULINO,AUTO
37,12/12/2016,2016,12,SD,12,2016-0165,CICLISTA,MASCULINO,BICICLETA
43,13/12/2016,2016,13,13/12/2016,12,2016-0168,CONDUCTOR,MASCULINO,MOTO
24,15/12/2016,2016,15,16/12/2016,12,2016-0169,CONDUCTOR,MASCULINO,MOTO
21,19/12/2016,2016,19,19/12/2016,12,2016-0170,PASAJERO_ACOMPAÑANTE,MASCULINO,MOTO
SD,25/12/2016,2016,25,SD,12,2016-0171,CONDUCTOR,SD,MOTO
38,26/12/2016,2016,26,26/12/2016,12,2016-0172,CONDUCTOR,MASCULINO,MOTO
